P1 X: 11     P1 Y: 29
P67 X: 10     P67 Y: 11
P68 X: 11     P68 Y: 9
P69 X: 19     P69 Y: 3
P70 X: 22     P70 Y: 27
P71 X: 15     P71 Y: 14
P72 X: 3     P72 Y: 8
P73 X: 7     P73 Y: 17
P74 X: 8     P74 Y: 18
P75 X: 22     P75 Y: 12
P76 X: 5     P76 Y: 15
P77 X: 9     P77 Y: 20
P78 X: 6     P78 Y: 15
P79 X: 14     P79 Y: 1
P80 X: 24     P80 Y: 8
P81 X: 14     P81 Y: 1
P82 X: 24     P82 Y: 4
P83 X: 5     P83 Y: 6
P84 X: 21     P84 Y: 26
P85 X: 3     P85 Y: 4
P86 X: 8     P86 Y: 0
P87 X: 1     P87 Y: 12
P88 X: 19     P88 Y: 5
P89 X: 11     P89 Y: 22
P90 X: 30     P90 Y: 20
P91 X: 16     P91 Y: 19
P92 X: 6     P92 Y: 13
P93 X: 3     P93 Y: 16
P94 X: 9     P94 Y: 11
P95 X: 24     P95 Y: 14
P96 X: 21     P96 Y: 0
P97 X: 12     P97 Y: 12
P98 X: 26     P98 Y: 15
P99 X: 8     P99 Y: 29
P100 X: 16     P100 Y: 25

P1 X: 6     P1 Y: 6
P2 X: 25     P2 Y: 11
P3 X: 28     P3 Y: 4
P4 X: 23     P4 Y: 4
P5 X: 24     P5 Y: 22
P6 X: 30     P6 Y: 20
P7 X: 17     P7 Y: 28
P8 X: 2     P8 Y: 12
P9 X: 27     P9 Y: 1
P10 X: 2     P10 Y: 0
P11 X: 8     P11 Y: 9
P12 X: 6     P12 Y: 11
P13 X: 9     P13 Y: 21
P14 X: 30     P14 Y: 23
P15 X: 9     P15 Y: 16
P16 X: 25     P16 Y: 3
P17 X: 5     P17 Y: 5
P18 X: 22     P18 Y: 27
P19 X: 11     P19 Y: 12
P20 X: 21     P20 Y: 11
P21 X: 11     P21 Y: 27
P22 X: 5     P22 Y: 8
P23 X: 27     P23 Y: 25
P24 X: 8     P24 Y: 19
P25 X: 27     P25 Y: 7
P26 X: 26     P26 Y: 28
P27 X: 30     P27 Y: 2
P28 X: 9     P28 Y: 15
P29 X: 15     P29 Y: 25
P30 X: 29     P30 Y: 12
P31 X: 19     P31 Y: 28
P32 X: 19     P32 Y: 30
P33 X: 2     P33 Y: 19
P34 X: 16     P34 Y: 6
P35 X: 28     P35 Y: 20
P36 X: 17     P36 Y: 24
P37 X: 19     P37 Y: 24
P38 X: 26     P38 Y: 27
P39 X: 14     P39 Y: 24
P40 X: 15     P40 Y: 7
P41 X: 3     P41 Y: 24
P42 X: 25     P42 Y: 27
P43 X: 4     P43 Y: 24
P44 X: 4     P44 Y: 4
P45 X: 7     P45 Y: 11
P46 X: 25     P46 Y: 1
P47 X: 30     P47 Y: 29
P48 X: 11     P48 Y: 7
P49 X: 17     P49 Y: 2
P50 X: 26     P50 Y: 13
P51 X: 27     P51 Y: 19
P52 X: 29     P52 Y: 13
P53 X: 21     P53 Y: 23
P54 X: 17     P54 Y: 2
P55 X: 4     P55 Y: 23
P56 X: 20     P56 Y: 21
P57 X: 9     P57 Y: 27
P58 X: 3     P58 Y: 6
P59 X: 8     P59 Y: 6
P60 X: 20     P60 Y: 24
P61 X: 13     P61 Y: 17
P62 X: 29     P62 Y: 19
P63 X: 22     P63 Y: 5
P64 X: 13     P64 Y: 28
P65 X: 5     P65 Y: 8
P66 X: 19     P66 Y: 13
P67 X: 10     P67 Y: 16
P68 X: 11     P68 Y: 8
P69 X: 22     P69 Y: 3
P70 X: 22     P70 Y: 27
P71 X: 15     P71 Y: 14
P72 X: 3     P72 Y: 8
P73 X: 7     P73 Y: 17
P74 X: 7     P74 Y: 15
P75 X: 22     P75 Y: 19
P76 X: 14     P76 Y: 15
P77 X: 9     P77 Y: 20
P78 X: 15     P78 Y: 11
P79 X: 14     P79 Y: 1
P80 X: 24     P80 Y: 15
P81 X: 14     P81 Y: 1
P82 X: 24     P82 Y: 4
P83 X: 5     P83 Y: 8
P84 X: 26     P84 Y: 26
P85 X: 3     P85 Y: 5
P86 X: 8     P86 Y: 0
P87 X: 6     P87 Y: 11
P88 X: 18     P88 Y: 12
P89 X: 11     P89 Y: 19
P90 X: 30     P90 Y: 25
P91 X: 16     P91 Y: 18
P92 X: 6     P92 Y: 12
P93 X: 1     P93 Y: 16
P94 X: 9     P94 Y: 11
P95 X: 24     P95 Y: 16
P96 X: 21     P96 Y: 10
P97 X: 12     P97 Y: 12
P98 X: 26     P98 Y: 15
P99 X: 8     P99 Y: 29
P100 X: 12     P100 Y: 25

P1 X: 6     P1 Y: 6
P2 X: 25     P2 Y: 11
P3 X: 28     P3 Y: 5
P4 X: 23     P4 Y: 2
P5 X: 24     P5 Y: 22
P6 X: 30     P6 Y: 20
P7 X: 12     P7 Y: 28
P8 X: 2     P8 Y: 12
P9 X: 27     P9 Y: 1
P10 X: 3     P10 Y: 0
P11 X: 8     P11 Y: 9
P12 X: 6     P12 Y: 4
P13 X: 9     P13 Y: 21
P14 X: 30     P14 Y: 23
P15 X: 9     P15 Y: 11
P16 X: 25     P16 Y: 3
P17 X: 8     P17 Y: 9
P18 X: 22     P18 Y: 27
P19 X: 15     P19 Y: 12
P20 X: 21     P20 Y: 11
P21 X: 11     P21 Y: 18
P22 X: 3     P22 Y: 3
P23 X: 27     P23 Y: 25
P24 X: 8     P24 Y: 19
P25 X: 27     P25 Y: 7
P26 X: 21     P26 Y: 19
P27 X: 25     P27 Y: 2
P28 X: 12     P28 Y: 15
P29 X: 15     P29 Y: 28
P30 X: 29     P30 Y: 4
P31 X: 25     P31 Y: 28
P32 X: 12     P32 Y: 26
P33 X: 2     P33 Y: 19
P34 X: 16     P34 Y: 14
P35 X: 30     P35 Y: 20
P36 X: 17     P36 Y: 15
P37 X: 19     P37 Y: 24
P38 X: 26     P38 Y: 27
P39 X: 14     P39 Y: 24
P40 X: 15     P40 Y: 7
P41 X: 3     P41 Y: 24
P42 X: 16     P42 Y: 27
P43 X: 4     P43 Y: 29
P44 X: 1     P44 Y: 4
P45 X: 7     P45 Y: 11
P46 X: 25     P46 Y: 1
P47 X: 30     P47 Y: 29
P48 X: 11     P48 Y: 7
P49 X: 17     P49 Y: 4
P50 X: 28     P50 Y: 21
P51 X: 27     P51 Y: 19
P52 X: 27     P52 Y: 13
P53 X: 19     P53 Y: 23
P54 X: 23     P54 Y: 2
P55 X: 4     P55 Y: 28
P56 X: 20     P56 Y: 21
P57 X: 9     P57 Y: 27
P58 X: 3     P58 Y: 6
P59 X: 8     P59 Y: 6
P60 X: 20     P60 Y: 29
P61 X: 13     P61 Y: 21
P62 X: 29     P62 Y: 23
P63 X: 22     P63 Y: 5
P64 X: 8     P64 Y: 28
P65 X: 5     P65 Y: 8
P66 X: 19     P66 Y: 13
P67 X: 10     P67 Y: 20
P68 X: 11     P68 Y: 8
P69 X: 24     P69 Y: 3
P70 X: 22     P70 Y: 27
P71 X: 15     P71 Y: 14
P72 X: 3     P72 Y: 8
P73 X: 7     P73 Y: 17
P74 X: 7     P74 Y: 13
P75 X: 22     P75 Y: 25
P76 X: 22     P76 Y: 15
P77 X: 9     P77 Y: 20
P78 X: 23     P78 Y: 8
P79 X: 14     P79 Y: 1
P80 X: 24     P80 Y: 21
P81 X: 14     P81 Y: 1
P82 X: 24     P82 Y: 4
P83 X: 5     P83 Y: 9
P84 X: 30     P84 Y: 26
P85 X: 3     P85 Y: 13
P86 X: 8     P86 Y: 0
P87 X: 12     P87 Y: 11
P88 X: 18     P88 Y: 18
P89 X: 11     P89 Y: 17
P90 X: 30     P90 Y: 29
P91 X: 16     P91 Y: 18
P92 X: 6     P92 Y: 12
P93 X: 4     P93 Y: 16
P94 X: 9     P94 Y: 11
P95 X: 24     P95 Y: 17
P96 X: 21     P96 Y: 19
P97 X: 12     P97 Y: 12
P98 X: 19     P98 Y: 15
P99 X: 8     P99 Y: 29
P100 X: 9     P100 Y: 25

P1 X: 6     P1 Y: 6
P2 X: 25     P2 Y: 11
P3 X: 28     P3 Y: 5
P4 X: 23     P4 Y: 7
P5 X: 24     P5 Y: 22
P6 X: 30     P6 Y: 20
P7 X: 8     P7 Y: 28
P8 X: 2     P8 Y: 12
P9 X: 27     P9 Y: 1
P10 X: 7     P10 Y: 0
P11 X: 8     P11 Y: 9
P12 X: 6     P12 Y: 2
P13 X: 9     P13 Y: 21
P14 X: 30     P14 Y: 23
P15 X: 9     P15 Y: 7
P16 X: 25     P16 Y: 3
P17 X: 10     P17 Y: 12
P18 X: 22     P18 Y: 27
P19 X: 18     P19 Y: 12
P20 X: 21     P20 Y: 11
P21 X: 11     P21 Y: 10
P22 X: 10     P22 Y: 1
P23 X: 27     P23 Y: 25
P24 X: 8     P24 Y: 19
P25 X: 27     P25 Y: 7
P26 X: 17     P26 Y: 11
P27 X: 21     P27 Y: 2
P28 X: 14     P28 Y: 15
P29 X: 15     P29 Y: 22
P30 X: 29     P30 Y: 3
P31 X: 30     P31 Y: 25
P32 X: 6     P32 Y: 23
P33 X: 2     P33 Y: 19
P34 X: 16     P34 Y: 21
P35 X: 29     P35 Y: 20
P36 X: 17     P36 Y: 7
P37 X: 19     P37 Y: 24
P38 X: 26     P38 Y: 27
P39 X: 14     P39 Y: 24
P40 X: 15     P40 Y: 7
P41 X: 3     P41 Y: 24
P42 X: 8     P42 Y: 27
P43 X: 4     P43 Y: 23
P44 X: 5     P44 Y: 4
P45 X: 7     P45 Y: 11
P46 X: 25     P46 Y: 1
P47 X: 30     P47 Y: 29
P48 X: 11     P48 Y: 7
P49 X: 17     P49 Y: 9
P50 X: 29     P50 Y: 28
P51 X: 27     P51 Y: 19
P52 X: 24     P52 Y: 13
P53 X: 18     P53 Y: 23
P54 X: 28     P54 Y: 2
P55 X: 4     P55 Y: 20
P56 X: 20     P56 Y: 21
P57 X: 9     P57 Y: 27
P58 X: 3     P58 Y: 6
P59 X: 8     P59 Y: 6
P60 X: 20     P60 Y: 23
P61 X: 13     P61 Y: 24
P62 X: 29     P62 Y: 26
P63 X: 22     P63 Y: 5
P64 X: 4     P64 Y: 28
P65 X: 5     P65 Y: 8
P66 X: 19     P66 Y: 13
P67 X: 10     P67 Y: 23
P68 X: 11     P68 Y: 8
P69 X: 25     P69 Y: 3
P70 X: 22     P70 Y: 27
P71 X: 15     P71 Y: 14
P72 X: 3     P72 Y: 8
P73 X: 7     P73 Y: 17
P74 X: 7     P74 Y: 12
P75 X: 22     P75 Y: 30
P76 X: 29     P76 Y: 15
P77 X: 9     P77 Y: 20
P78 X: 30     P78 Y: 6
P79 X: 14     P79 Y: 1
P80 X: 24     P80 Y: 26
P81 X: 14     P81 Y: 1
P82 X: 24     P82 Y: 4
P83 X: 5     P83 Y: 9
P84 X: 27     P84 Y: 26
P85 X: 3     P85 Y: 20
P86 X: 8     P86 Y: 0
P87 X: 17     P87 Y: 11
P88 X: 18     P88 Y: 23
P89 X: 11     P89 Y: 16
P90 X: 30     P90 Y: 28
P91 X: 16     P91 Y: 18
P92 X: 6     P92 Y: 12
P93 X: 6     P93 Y: 16
P94 X: 9     P94 Y: 11
P95 X: 24     P95 Y: 17
P96 X: 21     P96 Y: 27
P97 X: 12     P97 Y: 12
P98 X: 13     P98 Y: 15
P99 X: 8     P99 Y: 29
P100 X: 7     P100 Y: 25

P1 X: 6     P1 Y: 6
P2 X: 25     P2 Y: 11
P3 X: 28     P3 Y: 5
P4 X: 23     P4 Y: 11
P5 X: 24     P5 Y: 22
P6 X: 30     P6 Y: 20
P7 X: 5     P7 Y: 28
P8 X: 2     P8 Y: 12
P9 X: 27     P9 Y: 1
P10 X: 10     P10 Y: 0
P11 X: 8     P11 Y: 9
P12 X: 6     P12 Y: 7
P13 X: 9     P13 Y: 21
P14 X: 30     P14 Y: 23
P15 X: 9     P15 Y: 4
P16 X: 25     P16 Y: 3
P17 X: 11     P17 Y: 14
P18 X: 22     P18 Y: 27
P19 X: 20     P19 Y: 12
P20 X: 21     P20 Y: 11
P21 X: 11     P21 Y: 3
P22 X: 16     P22 Y: 4
P23 X: 27     P23 Y: 25
P24 X: 8     P24 Y: 19
P25 X: 27     P25 Y: 7
P26 X: 14     P26 Y: 4
P27 X: 18     P27 Y: 2
P28 X: 15     P28 Y: 15
P29 X: 15     P29 Y: 17
P30 X: 29     P30 Y: 9
P31 X: 26     P31 Y: 23
P32 X: 1     P32 Y: 21
P33 X: 2     P33 Y: 19
P34 X: 16     P34 Y: 27
P35 X: 29     P35 Y: 20
P36 X: 17     P36 Y: 0
P37 X: 19     P37 Y: 24
P38 X: 26     P38 Y: 27
P39 X: 14     P39 Y: 24
P40 X: 15     P40 Y: 7
P41 X: 3     P41 Y: 24
P42 X: 1     P42 Y: 27
P43 X: 4     P43 Y: 18
P44 X: 8     P44 Y: 4
P45 X: 7     P45 Y: 11
P46 X: 25     P46 Y: 1
P47 X: 30     P47 Y: 29
P48 X: 11     P48 Y: 7
P49 X: 17     P49 Y: 13
P50 X: 29     P50 Y: 26
P51 X: 27     P51 Y: 19
P52 X: 22     P52 Y: 13
P53 X: 18     P53 Y: 23
P54 X: 28     P54 Y: 2
P55 X: 4     P55 Y: 13
P56 X: 20     P56 Y: 21
P57 X: 9     P57 Y: 27
P58 X: 3     P58 Y: 6
P59 X: 8     P59 Y: 6
P60 X: 20     P60 Y: 18
P61 X: 13     P61 Y: 26
P62 X: 29     P62 Y: 28
P63 X: 22     P63 Y: 5
P64 X: 1     P64 Y: 28
P65 X: 5     P65 Y: 8
P66 X: 19     P66 Y: 13
P67 X: 10     P67 Y: 25
P68 X: 11     P68 Y: 8
P69 X: 25     P69 Y: 3
P70 X: 22     P70 Y: 27
P71 X: 15     P71 Y: 14
P72 X: 3     P72 Y: 8
P73 X: 7     P73 Y: 17
P74 X: 7     P74 Y: 12
P75 X: 22     P75 Y: 26
P76 X: 25     P76 Y: 15
P77 X: 9     P77 Y: 20
P78 X: 24     P78 Y: 5
P79 X: 14     P79 Y: 1
P80 X: 24     P80 Y: 30
P81 X: 14     P81 Y: 1
P82 X: 24     P82 Y: 4
P83 X: 5     P83 Y: 9
P84 X: 25     P84 Y: 26
P85 X: 3     P85 Y: 26
P86 X: 8     P86 Y: 0
P87 X: 21     P87 Y: 11
P88 X: 18     P88 Y: 27
P89 X: 11     P89 Y: 16
P90 X: 30     P90 Y: 26
P91 X: 16     P91 Y: 18
P92 X: 6     P92 Y: 12
P93 X: 7     P93 Y: 16
P94 X: 9     P94 Y: 11
P95 X: 24     P95 Y: 17
P96 X: 21     P96 Y: 26
P97 X: 12     P97 Y: 12
P98 X: 8     P98 Y: 15
P99 X: 8     P99 Y: 29
P100 X: 6     P100 Y: 25

P1 X: 6     P1 Y: 6
P2 X: 25     P2 Y: 11
P3 X: 28     P3 Y: 5
P4 X: 23     P4 Y: 14
P5 X: 24     P5 Y: 22
P6 X: 30     P6 Y: 20
P7 X: 3     P7 Y: 28
P8 X: 2     P8 Y: 12
P9 X: 27     P9 Y: 1
P10 X: 12     P10 Y: 0
P11 X: 8     P11 Y: 9
P12 X: 6     P12 Y: 11
P13 X: 9     P13 Y: 21
P14 X: 30     P14 Y: 23
P15 X: 9     P15 Y: 2
P16 X: 25     P16 Y: 3
P17 X: 11     P17 Y: 15
P18 X: 22     P18 Y: 27
P19 X: 21     P19 Y: 12
P20 X: 21     P20 Y: 11
P21 X: 11     P21 Y: 3
P22 X: 21     P22 Y: 6
P23 X: 27     P23 Y: 25
P24 X: 8     P24 Y: 19
P25 X: 27     P25 Y: 7
P26 X: 12     P26 Y: 2
P27 X: 16     P27 Y: 2
P28 X: 15     P28 Y: 15
P29 X: 15     P29 Y: 13
P30 X: 29     P30 Y: 14
P31 X: 23     P31 Y: 22
P32 X: 3     P32 Y: 20
P33 X: 2     P33 Y: 19
P34 X: 16     P34 Y: 28
P35 X: 29     P35 Y: 20
P36 X: 17     P36 Y: 6
P37 X: 19     P37 Y: 24
P38 X: 26     P38 Y: 27
P39 X: 14     P39 Y: 24
P40 X: 15     P40 Y: 7
P41 X: 3     P41 Y: 24
P42 X: 5     P42 Y: 27
P43 X: 4     P43 Y: 14
P44 X: 10     P44 Y: 4
P45 X: 7     P45 Y: 11
P46 X: 25     P46 Y: 1
P47 X: 30     P47 Y: 29
P48 X: 11     P48 Y: 7
P49 X: 17     P49 Y: 16
P50 X: 29     P50 Y: 21
P51 X: 27     P51 Y: 19
P52 X: 21     P52 Y: 13
P53 X: 18     P53 Y: 23
P54 X: 25     P54 Y: 2
P55 X: 4     P55 Y: 7
P56 X: 20     P56 Y: 21
P57 X: 9     P57 Y: 27
P58 X: 3     P58 Y: 6
P59 X: 8     P59 Y: 6
P60 X: 20     P60 Y: 14
P61 X: 13     P61 Y: 27
P62 X: 29     P62 Y: 29
P63 X: 22     P63 Y: 5
P64 X: 1     P64 Y: 28
P65 X: 5     P65 Y: 8
P66 X: 19     P66 Y: 13
P67 X: 10     P67 Y: 26
P68 X: 11     P68 Y: 8
P69 X: 25     P69 Y: 3
P70 X: 22     P70 Y: 27
P71 X: 15     P71 Y: 14
P72 X: 3     P72 Y: 8
P73 X: 7     P73 Y: 17
P74 X: 7     P74 Y: 12
P75 X: 22     P75 Y: 23
P76 X: 20     P76 Y: 15
P77 X: 9     P77 Y: 20
P78 X: 19     P78 Y: 5
P79 X: 14     P79 Y: 1
P80 X: 24     P80 Y: 27
P81 X: 14     P81 Y: 1
P82 X: 24     P82 Y: 4
P83 X: 5     P83 Y: 9
P84 X: 24     P84 Y: 26
P85 X: 3     P85 Y: 29
P86 X: 8     P86 Y: 0
P87 X: 24     P87 Y: 11
P88 X: 18     P88 Y: 30
P89 X: 11     P89 Y: 16
P90 X: 30     P90 Y: 25
P91 X: 16     P91 Y: 18
P92 X: 6     P92 Y: 12
P93 X: 7     P93 Y: 16
P94 X: 9     P94 Y: 11
P95 X: 24     P95 Y: 17
P96 X: 21     P96 Y: 20
P97 X: 12     P97 Y: 12
P98 X: 4     P98 Y: 15
P99 X: 8     P99 Y: 29
P100 X: 6     P100 Y: 25

P1 X: 6     P1 Y: 6
P2 X: 25     P2 Y: 11
P3 X: 28     P3 Y: 5
P4 X: 23     P4 Y: 16
P5 X: 24     P5 Y: 22
P6 X: 30     P6 Y: 20
P7 X: 2     P7 Y: 28
P8 X: 2     P8 Y: 12
P9 X: 27     P9 Y: 1
P10 X: 13     P10 Y: 0
P11 X: 8     P11 Y: 9
P12 X: 6     P12 Y: 14
P13 X: 9     P13 Y: 21
P14 X: 30     P14 Y: 23
P15 X: 9     P15 Y: 1
P16 X: 25     P16 Y: 3
P17 X: 11     P17 Y: 15
P18 X: 22     P18 Y: 27
P19 X: 21     P19 Y: 12
P20 X: 21     P20 Y: 11
P21 X: 11     P21 Y: 8
P22 X: 25     P22 Y: 7
P23 X: 27     P23 Y: 25
P24 X: 8     P24 Y: 19
P25 X: 27     P25 Y: 7
P26 X: 11     P26 Y: 7
P27 X: 15     P27 Y: 2
P28 X: 15     P28 Y: 15
P29 X: 15     P29 Y: 10
P30 X: 29     P30 Y: 18
P31 X: 21     P31 Y: 22
P32 X: 6     P32 Y: 20
P33 X: 2     P33 Y: 19
P34 X: 16     P34 Y: 24
P35 X: 29     P35 Y: 20
P36 X: 17     P36 Y: 11
P37 X: 19     P37 Y: 24
P38 X: 26     P38 Y: 27
P39 X: 14     P39 Y: 24
P40 X: 15     P40 Y: 7
P41 X: 3     P41 Y: 24
P42 X: 10     P42 Y: 27
P43 X: 4     P43 Y: 11
P44 X: 11     P44 Y: 4
P45 X: 7     P45 Y: 11
P46 X: 25     P46 Y: 1
P47 X: 30     P47 Y: 29
P48 X: 11     P48 Y: 7
P49 X: 17     P49 Y: 18
P50 X: 29     P50 Y: 17
P51 X: 27     P51 Y: 19
P52 X: 21     P52 Y: 13
P53 X: 18     P53 Y: 23
P54 X: 23     P54 Y: 2
P55 X: 4     P55 Y: 2
P56 X: 20     P56 Y: 21
P57 X: 9     P57 Y: 27
P58 X: 3     P58 Y: 6
P59 X: 8     P59 Y: 6
P60 X: 20     P60 Y: 11
P61 X: 13     P61 Y: 27
P62 X: 29     P62 Y: 29
P63 X: 22     P63 Y: 5
P64 X: 2     P64 Y: 28
P65 X: 5     P65 Y: 8
P66 X: 19     P66 Y: 13
P67 X: 10     P67 Y: 26
P68 X: 11     P68 Y: 8
P69 X: 25     P69 Y: 3
P70 X: 22     P70 Y: 27
P71 X: 15     P71 Y: 14
P72 X: 3     P72 Y: 8
P73 X: 7     P73 Y: 17
P74 X: 7     P74 Y: 12
P75 X: 22     P75 Y: 21
P76 X: 16     P76 Y: 15
P77 X: 9     P77 Y: 20
P78 X: 15     P78 Y: 5
P79 X: 14     P79 Y: 1
P80 X: 24     P80 Y: 25
P81 X: 14     P81 Y: 1
P82 X: 24     P82 Y: 4
P83 X: 5     P83 Y: 9
P84 X: 24     P84 Y: 26
P85 X: 3     P85 Y: 25
P86 X: 8     P86 Y: 0
P87 X: 26     P87 Y: 11
P88 X: 18     P88 Y: 28
P89 X: 11     P89 Y: 16
P90 X: 30     P90 Y: 25
P91 X: 16     P91 Y: 18
P92 X: 6     P92 Y: 12
P93 X: 7     P93 Y: 16
P94 X: 9     P94 Y: 11
P95 X: 24     P95 Y: 17
P96 X: 21     P96 Y: 15
P97 X: 12     P97 Y: 12
P98 X: 1     P98 Y: 15
P99 X: 8     P99 Y: 29
P100 X: 6     P100 Y: 25

P1 X: 6     P1 Y: 6
P2 X: 25     P2 Y: 11
P3 X: 28     P3 Y: 5
P4 X: 23     P4 Y: 17
P5 X: 24     P5 Y: 22
P6 X: 30     P6 Y: 20
P7 X: 2     P7 Y: 28
P8 X: 2     P8 Y: 12
P9 X: 27     P9 Y: 1
P10 X: 13     P10 Y: 0
P11 X: 8     P11 Y: 9
P12 X: 6     P12 Y: 16
P13 X: 9     P13 Y: 21
P14 X: 30     P14 Y: 23
P15 X: 9     P15 Y: 1
P16 X: 25     P16 Y: 3
P17 X: 11     P17 Y: 15
P18 X: 22     P18 Y: 27
P19 X: 21     P19 Y: 12
P20 X: 21     P20 Y: 11
P21 X: 11     P21 Y: 12
P22 X: 28     P22 Y: 7
P23 X: 27     P23 Y: 25
P24 X: 8     P24 Y: 19
P25 X: 27     P25 Y: 7
P26 X: 11     P26 Y: 11
P27 X: 15     P27 Y: 2
P28 X: 15     P28 Y: 15
P29 X: 15     P29 Y: 8
P30 X: 29     P30 Y: 21
P31 X: 20     P31 Y: 22
P32 X: 8     P32 Y: 20
P33 X: 2     P33 Y: 19
P34 X: 16     P34 Y: 21
P35 X: 29     P35 Y: 20
P36 X: 17     P36 Y: 15
P37 X: 19     P37 Y: 24
P38 X: 26     P38 Y: 27
P39 X: 14     P39 Y: 24
P40 X: 15     P40 Y: 7
P41 X: 3     P41 Y: 24
P42 X: 14     P42 Y: 27
P43 X: 4     P43 Y: 9
P44 X: 11     P44 Y: 4
P45 X: 7     P45 Y: 11
P46 X: 25     P46 Y: 1
P47 X: 30     P47 Y: 29
P48 X: 11     P48 Y: 7
P49 X: 17     P49 Y: 19
P50 X: 29     P50 Y: 14
P51 X: 27     P51 Y: 19
P52 X: 21     P52 Y: 13
P53 X: 18     P53 Y: 23
P54 X: 22     P54 Y: 2
P55 X: 4     P55 Y: 2
P56 X: 20     P56 Y: 21
P57 X: 9     P57 Y: 27
P58 X: 3     P58 Y: 6
P59 X: 8     P59 Y: 6
P60 X: 20     P60 Y: 9
P61 X: 13     P61 Y: 27
P62 X: 29     P62 Y: 29
P63 X: 22     P63 Y: 5
P64 X: 2     P64 Y: 28
P65 X: 5     P65 Y: 8
P66 X: 19     P66 Y: 13
P67 X: 10     P67 Y: 26
P68 X: 11     P68 Y: 8
P69 X: 25     P69 Y: 3
P70 X: 22     P70 Y: 27
P71 X: 15     P71 Y: 14
P72 X: 3     P72 Y: 8
P73 X: 7     P73 Y: 17
P74 X: 7     P74 Y: 12
P75 X: 22     P75 Y: 20
P76 X: 13     P76 Y: 15
P77 X: 9     P77 Y: 20
P78 X: 12     P78 Y: 5
P79 X: 14     P79 Y: 1
P80 X: 24     P80 Y: 24
P81 X: 14     P81 Y: 1
P82 X: 24     P82 Y: 4
P83 X: 5     P83 Y: 9
P84 X: 24     P84 Y: 26
P85 X: 3     P85 Y: 22
P86 X: 8     P86 Y: 0
P87 X: 27     P87 Y: 11
P88 X: 18     P88 Y: 27
P89 X: 11     P89 Y: 16
P90 X: 30     P90 Y: 25
P91 X: 16     P91 Y: 18
P92 X: 6     P92 Y: 12
P93 X: 7     P93 Y: 16
P94 X: 9     P94 Y: 11
P95 X: 24     P95 Y: 17
P96 X: 21     P96 Y: 11
P97 X: 12     P97 Y: 12
P98 X: 1     P98 Y: 15
P99 X: 8     P99 Y: 29
P100 X: 6     P100 Y: 25

P1 X: 6     P1 Y: 6
P2 X: 25     P2 Y: 11
P3 X: 28     P3 Y: 5
P4 X: 23     P4 Y: 17
P5 X: 24     P5 Y: 22
P6 X: 30     P6 Y: 20
P7 X: 2     P7 Y: 28
P8 X: 2     P8 Y: 12
P9 X: 27     P9 Y: 1
P10 X: 13     P10 Y: 0
P11 X: 8     P11 Y: 9
P12 X: 6     P12 Y: 17
P13 X: 9     P13 Y: 21
P14 X: 30     P14 Y: 23
P15 X: 9     P15 Y: 1
P16 X: 25     P16 Y: 3
P17 X: 11     P17 Y: 15
P18 X: 22     P18 Y: 27
P19 X: 21     P19 Y: 12
P20 X: 21     P20 Y: 11
P21 X: 11     P21 Y: 15
P22 X: 30     P22 Y: 7
P23 X: 27     P23 Y: 25
P24 X: 8     P24 Y: 19
P25 X: 27     P25 Y: 7
P26 X: 11     P26 Y: 14
P27 X: 15     P27 Y: 2
P28 X: 15     P28 Y: 15
P29 X: 15     P29 Y: 7
P30 X: 29     P30 Y: 23
P31 X: 20     P31 Y: 22
P32 X: 9     P32 Y: 20
P33 X: 2     P33 Y: 19
P34 X: 16     P34 Y: 19
P35 X: 29     P35 Y: 20
P36 X: 17     P36 Y: 18
P37 X: 19     P37 Y: 24
P38 X: 26     P38 Y: 27
P39 X: 14     P39 Y: 24
P40 X: 15     P40 Y: 7
P41 X: 3     P41 Y: 24
P42 X: 17     P42 Y: 27
P43 X: 4     P43 Y: 8
P44 X: 11     P44 Y: 4
P45 X: 7     P45 Y: 11
P46 X: 25     P46 Y: 1
P47 X: 30     P47 Y: 29
P48 X: 11     P48 Y: 7
P49 X: 17     P49 Y: 19
P50 X: 29     P50 Y: 12
P51 X: 27     P51 Y: 19
P52 X: 21     P52 Y: 13
P53 X: 18     P53 Y: 23
P54 X: 22     P54 Y: 2
P55 X: 4     P55 Y: 5
P56 X: 20     P56 Y: 21
P57 X: 9     P57 Y: 27
P58 X: 3     P58 Y: 6
P59 X: 8     P59 Y: 6
P60 X: 20     P60 Y: 8
P61 X: 13     P61 Y: 27
P62 X: 29     P62 Y: 29
P63 X: 22     P63 Y: 5
P64 X: 2     P64 Y: 28
P65 X: 5     P65 Y: 8
P66 X: 19     P66 Y: 13
P67 X: 10     P67 Y: 26
P68 X: 11     P68 Y: 8
P69 X: 25     P69 Y: 3
P70 X: 22     P70 Y: 27
P71 X: 15     P71 Y: 14
P72 X: 3     P72 Y: 8
P73 X: 7     P73 Y: 17
P74 X: 7     P74 Y: 12
P75 X: 22     P75 Y: 20
P76 X: 11     P76 Y: 15
P77 X: 9     P77 Y: 20
P78 X: 10     P78 Y: 5
P79 X: 14     P79 Y: 1
P80 X: 24     P80 Y: 24
P81 X: 14     P81 Y: 1
P82 X: 24     P82 Y: 4
P83 X: 5     P83 Y: 9
P84 X: 24     P84 Y: 26
P85 X: 3     P85 Y: 20
P86 X: 8     P86 Y: 0
P87 X: 27     P87 Y: 11
P88 X: 18     P88 Y: 27
